+(896,430) 1326
+(580,540) 1120
+(591,563) 1154
+(577,98) 675
+(931,256) 1187
+(3,1002) 1005
+(203,53) 256
+(1012,43) 1055
+(882,667) 1549
+(996,86) 1082
+(806,855) 1661
+(694,689) 1383
+(739,843) 1582
+(457,848) 1305
+(154,647) 801
+(473,961) 1434
+(249,243) 492
+(679,384) 1063
+(134,774) 908
+(468,84) 552
+(73,745) 818
+(832,920) 1752
+(514,756) 1270
+(787,295) 1082
+(790,606) 1396
+(81,591) 672
+(186,880) 1066
+(457,837) 1294
+(705,476) 1181
+(893,136) 1029
+(872,825) 1697
+(273,955) 1228
+(686,46) 732
+(26,920) 946
+(211,687) 898
+(1007,728) 1735
+(45,299) 344
+(707,431) 1138
+(103,510) 613
+(861,74) 935
+(250,569) 819
+(527,994) 1521
+(316,787) 1103
+(349,96) 445
+(548,464) 1012
+(1014,856) 1870
+(666,561) 1227
+(476,773) 1249
+(920,2) 922
+(843,565) 1408
+(734,559) 1293
+(903,584) 1487
+(350,172) 522
+(893,244) 1137
+(86,374) 460
+(666,430) 1096
+(233,402) 635
+(306,138) 444
+(788,723) 1511
+(967,59) 1026
+(754,897) 1651
+(121,342) 463
+(721,931) 1652
+(840,619) 1459
+(364,844) 1208
+(408,197) 605
+(794,82) 876
+(913,967) 1880
+(48,5) 53
+(890,358) 1248
+(597,603) 1200
+(211,243) 454
+(810,666) 1476
+(145,635) 780
+(617,699) 1316
+(505,298) 803
+(431,608) 1039
+(687,379) 1066
+(568,391) 959
+(789,687) 1476
+(299,739) 1038
+(311,913) 1224
+(151,90) 241
+(708,832) 1540
+(451,723) 1174
+(465,677) 1142
+(967,674) 1641
+(325,295) 620
+(655,907) 1562
+(547,59) 606
+(638,45) 683
+(826,983) 1809
+(223,36) 259
+(472,904) 1376
+(119,295) 414
+(961,787) 1748
+(117,304) 421
+(567,683) 1250
+(859,80) 939
+(1018,434) 1452
+(417,98) 515
+(968,682) 1650
+(578,686) 1264
+(517,722) 1239
+(396,788) 1184
+(368,338) 706
+(788,806) 1594
+(602,707) 1309
+(472,763) 1235
+(960,242) 1202
+(625,144) 769
+(634,1017) 1651
+(396,814) 1210
+(883,374) 1257
+(433,619) 1052
+(130,48) 178
+(759,144) 903
+(293,103) 396
+(469,565) 1034
+(336,777) 1113
+(717,789) 1506
+(343,191) 534
+(151,454) 605
+(957,559) 1516
+(457,119) 576
+(607,748) 1355
+(559,702) 1261
+(408,80) 488
+(761,261) 1022
+(289,745) 1034
+(699,940) 1639
+(920,84) 1004
+(665,593) 1258
+(542,119) 661
+(47,629) 676
+(74,213) 287
+(814,26) 840
+(729,922) 1651
+(502,173) 675
+(693,120) 813
+(745,798) 1543
+(365,508) 873
+(250,825) 1075
+(321,472) 793
+(279,659) 938
+(237,14) 251
+(465,84) 549
+(429,649) 1078
+(565,211) 776
+(511,913) 1424
+(686,379) 1065
+(561,138) 699
+(259,689) 948
+(549,1013) 1562
+(1015,502) 1517
+(238,25) 263
+(106,365) 471
+(926,599) 1525
+(990,507) 1497
+(798,321) 1119
+(655,832) 1487
+(80,478) 558
+(628,629) 1257
+(276,526) 802
+(968,372) 1340
+(625,191) 816
+(489,448) 937
+(408,751) 1159
+(16,316) 332
+(115,1021) 1136
+(591,625) 1216
+(608,127) 735
+(745,514) 1259
+(638,391) 1029
+(931,130) 1061
+(318,887) 1205
+(162,920) 1082
+(459,471) 930
+(79,194) 273
+(852,754) 1606
+(737,79) 816
+(747,864) 1611
+(186,82) 268
+(299,283) 582
+(692,476) 1168
+(531,440) 971
+(177,803) 980
+(591,451) 1042
+(91,619) 710
+(14,46) 60
+(76,946) 1022
+(276,157) 433
+(442,258) 700
+(475,996) 1471
+(73,604) 677
+(677,635) 1312
+(919,599) 1518
+(640,789) 1429
+(825,987) 1812
+(1018,350) 1368
+(977,946) 1923
+(659,209) 868
+(46,459) 505
+(510,303) 813
+(286,403) 689
+(379,748) 1127
+(253,723) 976
+(462,891) 1353
+(1010,888) 1898
+(698,671) 1369
+(520,31) 551
+(806,448) 1254
+(953,529) 1482
+(138,825) 963
+(674,437) 1111
+(213,493) 706
+(377,723) 1100
+(195,802) 997
+(751,568) 1319
+(565,18) 583
+(999,931) 1930
+(465,761) 1226
+(142,203) 345
+(179,692) 871
+(745,786) 1531
+(1020,425) 1445
+(961,664) 1625
+(198,10) 208
+(18,874) 892
+(14,380) 394
+(883,664) 1547
+(208,591) 799
+(327,647) 974
+(629,50) 679
+(864,249) 1113
+(877,575) 1452
+(741,377) 1118
+(101,338) 439
+(546,52) 598
+(170,794) 964
+(882,745) 1627
+(136,997) 1133
+(150,890) 1040
+(792,107) 899
+(945,251) 1196
+(575,3) 578
+(864,358) 1222
+(439,302) 741
+(374,491) 865
+(971,36) 1007
+(447,216) 663
+(115,15) 130
+(938,54) 992
+(592,115) 707
+(901,459) 1360
+(101,961) 1062
+(30,803) 833
+(745,425) 1170
+(260,90) 350
+(567,542) 1109
+(608,666) 1274
+(561,945) 1506
+(796,596) 1392
+(165,434) 599
+(30,884) 914
+(898,209) 1107
+(303,243) 546
+(46,657) 703
+(722,920) 1642
+(665,700) 1365
+(619,602) 1221
+(291,572) 863
+(434,433) 867
+(342,745) 1087
+(379,665) 1044
+(138,465) 603
+(553,998) 1551
+(302,211) 513
+(674,744) 1418
+(431,374) 805
+(53,600) 653
+(707,41) 748
+(773,615) 1388
+(517,943) 1460
+(462,896) 1358
+(991,941) 1932
+(416,233) 649
+(150,922) 1072
+(758,861) 1619
+(487,209) 696
+(1017,692) 1709
+(30,691) 721
+(729,404) 1133
+(711,625) 1336
+(953,841) 1794
+(32,545) 577
+(431,260) 691
+(325,820) 1145
+(955,213) 1168
+(195,715) 910
+(448,785) 1233
+(220,372) 592
+(810,1006) 1816
+(575,10) 585
+(816,1017) 1833
+(591,191) 782
+(59,46) 105
+(822,354) 1176
+(626,886) 1512
+(313,747) 1060
+(826,619) 1445
+(497,142) 639
+(744,186) 930
+(487,316) 803
+(46,873) 919
+(939,360) 1299
+(761,651) 1412
+(473,625) 1098
+(149,913) 1062
+(431,86) 517
+(935,717) 1652
+(50,293) 343
+(826,695) 1521
+(722,149) 871
+(983,994) 1977
+(828,560) 1388
+(941,336) 1277
+(892,717) 1609
+(432,193) 625
+(291,64) 355
+(996,943) 1939
+(556,963) 1519
+(615,874) 1489
+(953,41) 994
+(819,374) 1193
+(487,493) 980
+(684,292) 976
+(151,608) 759
+(983,14) 997
+(134,534) 668
+(464,185) 649
+(420,974) 1394
+(316,884) 1200
+(707,494) 1201
+(748,136) 884
+(211,26) 237
+(710,882) 1592
+(258,773) 1031
+(938,424) 1362
+(625,506) 1131
+(249,204) 453
+(396,843) 1239
+(679,164) 843
+(599,457) 1056
+(970,184) 1154
+(773,664) 1437
+(621,667) 1288
+(932,509) 1441
+(433,759) 1192
+(402,798) 1200
+(689,634) 1323
+(252,465) 717
+(700,451) 1151
+(526,814) 1340
+(664,635) 1299
+(649,663) 1312
+(784,73) 857
+(744,561) 1305
+(992,700) 1692
+(440,695) 1135
+(657,816) 1473
+(251,165) 416
+(52,617) 669
+(542,374) 916
+(1021,482) 1503
+(15,212) 227
+(54,178) 232
+(429,261) 690
+(430,185) 615
+(898,617) 1515
+(482,758) 1240
+(332,306) 638
+(621,816) 1437
+(729,966) 1695
+(179,474) 653
+(514,191) 705
+(711,762) 1473
+(773,758) 1531
+(651,753) 1404
+(53,526) 579
+(194,578) 772
+(722,787) 1509
+(402,618) 1020
+(531,186) 717
+(295,458) 753
+(273,618) 891
+(178,896) 1074
+(32,640) 672
+(825,577) 1402
+(257,659) 916
+(553,86) 639
+(753,216) 969
+(991,745) 1736
+(991,53) 1044
+(863,284) 1147
+(814,293) 1107
+(806,784) 1590
+(673,901) 1574
+(231,476) 707
+(41,15) 56
+(436,785) 1221
+(926,968) 1894
+(80,336) 416
+(36,194) 230
+(940,822) 1762
+(374,41) 415
+(874,843) 1717
+(291,431) 722
+(763,673) 1436
+(629,689) 1318
+(785,186) 971
+(759,482) 1241
+(296,859) 1155
+(707,364) 1071
+(560,342) 902
+(663,210) 873
+(794,547) 1341
+(333,939) 1272
+(781,344) 1125
+(258,316) 574
+(864,172) 1036
+(661,134) 795
+(953,462) 1415
+(340,722) 1062
+(26,882) 908
+(1022,528) 1550
+(183,874) 1057
+(741,944) 1685
+(958,68) 1026
+(249,864) 1113
+(657,384) 1041
+(82,399) 481
+(861,374) 1235
+(715,617) 1332
+(416,763) 1179
+(508,640) 1148
+(447,777) 1224
+(374,659) 1033
+(837,254) 1091
+(721,20) 741
+(41,945) 986
+(886,655) 1541
+(170,625) 795
+(970,433) 1403
+(527,816) 1343
+(745,318) 1063
+(979,52) 1031
+(751,478) 1229
+(1,560) 561
+(865,165) 1030
+(317,846) 1163
+(759,448) 1207
+(521,349) 870
+(880,371) 1251
+(761,758) 1519
+(338,601) 939
+(55,629) 684
+(252,236) 488
+(250,551) 801
+(468,332) 800
+(774,468) 1242
+(177,694) 871
+(80,571) 651
+(560,591) 1151
+(618,843) 1461
+(578,534) 1112
+(84,475) 559
+(242,661) 903
+(997,353) 1350
+(79,863) 942
+(877,1005) 1882
+(75,434) 509
+(546,962) 1508
+(50,135) 185
+(819,694) 1513
+(838,473) 1311
+(471,565) 1036
+(852,317) 1169
+(747,917) 1664
+(691,520) 1211
+(302,77) 379
+(454,257) 711
+(877,671) 1548
+(465,881) 1346
+(47,715) 762
+(20,115) 135
+(777,220) 997
+(712,233) 945
+(947,744) 1691
+(418,506) 924
+(528,476) 1004
+(46,236) 282
+(933,788) 1721
+(640,687) 1327
+(642,372) 1014
+(5,26) 31
+(85,761) 846
+(727,689) 1416
+(994,752) 1746
+(134,149) 283
+(922,875) 1797
+(689,212) 901
+(276,236) 512
+(469,377) 846
+(353,794) 1147
+(509,194) 703
+(286,183) 469
+(793,451) 1244
+(459,494) 953
+(134,546) 680
+(759,886) 1645
+(26,802) 828
+(149,625) 774
+(748,756) 1504
+(457,810) 1267
+(968,53) 1021
+(852,209) 1061
+(54,974) 1028
+(974,31) 1005
+(336,720) 1056
+(773,960) 1733
+(592,919) 1511
+(194,665) 859
+(182,294) 476
+(129,794) 923
+(193,318) 511
+(819,776) 1595
+(729,505) 1234
+(447,877) 1324
+(130,687) 817
+(204,920) 1124
+(994,195) 1189
+(380,23) 403
+(649,857) 1506
+(761,694) 1455
+(325,947) 1272
+(1007,3) 1010
+(517,806) 1323
+(502,578) 1080
+(209,757) 966
+(872,1017) 1889
+(1022,440) 1462
+(935,350) 1285
+(80,744) 824
+(659,510) 1169
+(263,491) 754
+(855,664) 1519
+(508,897) 1405
+(904,96) 1000
+(597,150) 747
+(917,974) 1891
+(471,216) 687
+(693,781) 1474
+(619,204) 823
+(140,311) 451
+(144,261) 405
+(692,429) 1121
+(26,781) 807
+(144,744) 888
+(539,259) 798
+(814,383) 1197
+(130,563) 693
+(912,844) 1756
+(561,843) 1404
+(569,761) 1330
+(204,917) 1121
+(714,381) 1095
+(45,526) 571
+(152,744) 896
+(844,511) 1355
+(117,106) 223
+(1002,243) 1245
+(580,886) 1466
+(844,548) 1392
+(992,437) 1429
+(15,336) 351
+(204,170) 374
+(284,183) 467
+(46,274) 320
+(747,102) 849
+(591,761) 1352
+(773,933) 1706
+(825,865) 1690
+(584,318) 902
+(773,531) 1304
+(178,970) 1148
+(48,546) 594
+(611,41) 652
+(384,752) 1136
+(170,712) 882
+(425,730) 1155
+(471,211) 682
+(683,663) 1346
+(402,365) 767
+(5,130) 135
+(358,737) 1095
+(659,825) 1484
+(941,229) 1170
+(73,708) 781
+(837,608) 1445
+(671,120) 791
+(931,965) 1896
+(80,689) 769
+(1013,242) 1255
+(781,106) 887
+(90,76) 166
+(825,41) 866
+(383,864) 1247
+(758,820) 1578
+(231,379) 610
+(416,179) 595
+(907,46) 953
+(638,997) 1635
+(368,434) 802
+(332,478) 810
